Model,Epochs,Steps,Mode,Weighted,Experiment,ClientsOrder,Round,TotalClientRounds,F1,F1_std,Time(sec),00-WebDDoS(f1),00-WebDDoS(rounds),01-LDAP(f1),01-LDAP(rounds),02-Portmap(f1),02-Portmap(rounds),03-DNS(f1),03-DNS(rounds)
mlp,auto,auto,flad,False,0,0 1 2 3,1,4,0.72451,0.04232,012.66,0.76190,1,0.65909,1,0.76190,1,0.71515,1
mlp,auto,auto,flad,False,0,0 1 2 3,2,8,0.52582,0.45675,011.83,0.00000,2,0.97143,2,0.98795,2,0.14388,2
mlp,auto,auto,flad,False,0,0 1 2 3,3,10,0.74724,0.35283,003.70,0.85714,3,1.00000,2,0.98795,2,0.14388,3
mlp,auto,auto,flad,False,0,0 1 2 3,4,11,0.74724,0.35283,012.55,0.85714,3,1.00000,2,0.98795,2,0.14388,4
mlp,auto,auto,flad,False,0,0 1 2 3,5,14,0.93361,0.05379,007.95,0.85714,3,0.90909,3,0.98795,3,0.98024,5
mlp,auto,auto,flad,False,0,0 1 2 3,6,16,0.93361,0.05379,001.90,0.85714,4,0.90909,4,0.98795,3,0.98024,5
mlp,auto,auto,flad,False,0,0 1 2 3,7,17,0.94796,0.04040,011.97,0.89655,4,0.92105,4,0.99401,3,0.98024,6
mlp,auto,auto,flad,False,0,0 1 2 3,8,19,0.94796,0.04040,001.33,0.89655,5,0.92105,5,0.99401,3,0.98024,6
mlp,auto,auto,flad,False,0,0 1 2 3,9,21,0.96230,0.03165,001.19,0.96774,6,0.90909,6,0.98810,3,0.98425,6
mlp,auto,auto,flad,False,0,0 1 2 3,10,22,0.96230,0.03165,006.96,0.96774,6,0.90909,7,0.98810,3,0.98425,6
mlp,auto,auto,flad,False,0,0 1 2 3,11,24,0.96230,0.03165,001.16,0.96774,7,0.90909,8,0.98810,3,0.98425,6
mlp,auto,auto,flad,False,0,0 1 2 3,12,26,0.96230,0.03165,001.12,0.96774,8,0.90909,9,0.98810,3,0.98425,6
mlp,auto,auto,flad,False,0,0 1 2 3,13,27,0.96230,0.03165,013.89,0.96774,8,0.90909,9,0.98810,3,0.98425,7
mlp,auto,auto,flad,False,0,0 1 2 3,14,29,0.96230,0.03165,001.13,0.96774,9,0.90909,10,0.98810,3,0.98425,7
mlp,auto,auto,flad,False,0,0 1 2 3,15,31,0.96309,0.04500,001.12,1.00000,10,0.88608,11,0.98204,3,0.98425,7
mlp,auto,auto,flad,False,0,0 1 2 3,16,32,0.96309,0.04500,006.67,1.00000,10,0.88608,12,0.98204,3,0.98425,7
mlp,auto,auto,flad,False,0,0 1 2 3,17,34,0.96309,0.04500,001.60,1.00000,11,0.88608,13,0.98204,3,0.98425,7
mlp,auto,auto,flad,False,0,0 1 2 3,18,36,0.96309,0.04500,001.58,1.00000,12,0.88608,14,0.98204,3,0.98425,7
mlp,auto,auto,flad,False,0,0 1 2 3,19,38,0.96309,0.04500,001.38,1.00000,13,0.88608,15,0.98204,3,0.98425,7
mlp,auto,auto,flad,False,0,0 1 2 3,20,39,0.96309,0.04500,006.34,1.00000,13,0.88608,16,0.98204,3,0.98425,7
mlp,auto,auto,flad,False,0,0 1 2 3,21,40,0.96309,0.04500,006.48,1.00000,13,0.88608,17,0.98204,3,0.98425,7
mlp,auto,auto,flad,False,0,0 1 2 3,22,42,0.96309,0.04500,007.48,1.00000,13,0.88608,18,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,23,43,0.96309,0.04500,007.92,1.00000,13,0.88608,19,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,24,45,0.96309,0.04500,004.15,1.00000,14,0.88608,20,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,25,46,0.96309,0.04500,006.50,1.00000,14,0.88608,21,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,26,48,0.96309,0.04500,004.02,1.00000,15,0.88608,22,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,27,49,0.96309,0.04500,006.89,1.00000,15,0.88608,23,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,28,51,0.96309,0.04500,003.80,1.00000,16,0.88608,24,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,29,52,0.96309,0.04500,005.87,1.00000,16,0.88608,25,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,30,54,0.96309,0.04500,003.72,1.00000,17,0.88608,26,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,31,55,0.96309,0.04500,006.62,1.00000,17,0.88608,27,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,32,57,0.96309,0.04500,003.90,1.00000,18,0.88608,28,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,33,58,0.96309,0.04500,007.39,1.00000,18,0.88608,29,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,34,60,0.96309,0.04500,004.27,1.00000,19,0.88608,30,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,35,61,0.96309,0.04500,006.21,1.00000,19,0.88608,31,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,36,63,0.96309,0.04500,004.12,1.00000,20,0.88608,32,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,37,64,0.96309,0.04500,006.49,1.00000,20,0.88608,33,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,38,66,0.96309,0.04500,003.69,1.00000,21,0.88608,34,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,39,67,0.96309,0.04500,006.57,1.00000,21,0.88608,35,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,40,68,0.96309,0.04500,007.45,1.00000,21,0.88608,36,0.98204,3,0.98425,8
mlp,auto,auto,flad,False,0,0 1 2 3,41,70,0.96309,0.04500,004.25,1.00000,22,0.88608,37,0.98204,3,0.98425,8
